index_cluster,min_value_KRA_PREC_100m_chanel_0,max_value_KRA_PREC_100m_chanel_0,mean_value_KRA_PREC_100m_chanel_0,min_value_KRA_PREC_100m_chanel_1,max_value_KRA_PREC_100m_chanel_1,mean_value_KRA_PREC_100m_chanel_1,min_value_KRA_PREC_100m_chanel_2,max_value_KRA_PREC_100m_chanel_2,mean_value_KRA_PREC_100m_chanel_2,min_value_KRA_PREC_100m_chanel_3,max_value_KRA_PREC_100m_chanel_3,mean_value_KRA_PREC_100m_chanel_3,min_value_KRA_PREC_100m_chanel_4,max_value_KRA_PREC_100m_chanel_4,mean_value_KRA_PREC_100m_chanel_4,min_value_KRA_PREC_100m_chanel_5,max_value_KRA_PREC_100m_chanel_5,mean_value_KRA_PREC_100m_chanel_5,min_value_KRA_PREC_100m_chanel_6,max_value_KRA_PREC_100m_chanel_6,mean_value_KRA_PREC_100m_chanel_6,min_value_KRA_PREC_100m_chanel_7,max_value_KRA_PREC_100m_chanel_7,mean_value_KRA_PREC_100m_chanel_7,min_value_KRA_PREC_100m_chanel_8,max_value_KRA_PREC_100m_chanel_8,mean_value_KRA_PREC_100m_chanel_8,min_value_KRA_PREC_100m_chanel_9,max_value_KRA_PREC_100m_chanel_9,mean_value_KRA_PREC_100m_chanel_9,min_value_KRA_PREC_100m_chanel_10,max_value_KRA_PREC_100m_chanel_10,mean_value_KRA_PREC_100m_chanel_10,min_value_KRA_PREC_100m_chanel_11,max_value_KRA_PREC_100m_chanel_11,mean_value_KRA_PREC_100m_chanel_11,min_value_KRA_RELIEF_ASPECT_100m,max_value_KRA_RELIEF_ASPECT_100m,mean_value_KRA_RELIEF_ASPECT_100m,min_value_KRA_RELIEF_HEIGHT_100m,max_value_KRA_RELIEF_HEIGHT_100m,mean_value_KRA_RELIEF_HEIGHT_100m,min_value_KRA_RELIEF_SLOPE_100m,max_value_KRA_RELIEF_SLOPE_100m,mean_value_KRA_RELIEF_SLOPE_100m,Unnamed: 0,count_of_0.0,count_of_1.0,count_of_2.0,count_of_3.0,count_of_4.0,count_of_5.0,count_of_6.0,count_of_7.0,count_of_8.0,count_of_9.0,min_value_KRA_SUNNY_DAYS_APR_OCT_100m,max_value_KRA_SUNNY_DAYS_APR_OCT_100m,mean_value_KRA_SUNNY_DAYS_APR_OCT_100m,min_value_KRA_TAVG_100m_chanel_0,max_value_KRA_TAVG_100m_chanel_0,mean_value_KRA_TAVG_100m_chanel_0,min_value_KRA_TAVG_100m_chanel_1,max_value_KRA_TAVG_100m_chanel_1,mean_value_KRA_TAVG_100m_chanel_1,min_value_KRA_TAVG_100m_chanel_2,max_value_KRA_TAVG_100m_chanel_2,mean_value_KRA_TAVG_100m_chanel_2,min_value_KRA_TAVG_100m_chanel_3,max_value_KRA_TAVG_100m_chanel_3,mean_value_KRA_TAVG_100m_chanel_3,min_value_KRA_TAVG_100m_chanel_4,max_value_KRA_TAVG_100m_chanel_4,mean_value_KRA_TAVG_100m_chanel_4,min_value_KRA_TAVG_100m_chanel_5,max_value_KRA_TAVG_100m_chanel_5,mean_value_KRA_TAVG_100m_chanel_5,min_value_KRA_TAVG_100m_chanel_6,max_value_KRA_TAVG_100m_chanel_6,mean_value_KRA_TAVG_100m_chanel_6,min_value_KRA_TAVG_100m_chanel_7,max_value_KRA_TAVG_100m_chanel_7,mean_value_KRA_TAVG_100m_chanel_7,min_value_KRA_TAVG_100m_chanel_8,max_value_KRA_TAVG_100m_chanel_8,mean_value_KRA_TAVG_100m_chanel_8,min_value_KRA_TAVG_100m_chanel_9,max_value_KRA_TAVG_100m_chanel_9,mean_value_KRA_TAVG_100m_chanel_9,min_value_KRA_TAVG_100m_chanel_10,max_value_KRA_TAVG_100m_chanel_10,mean_value_KRA_TAVG_100m_chanel_10,min_value_KRA_TAVG_100m_chanel_11,max_value_KRA_TAVG_100m_chanel_11,mean_value_KRA_TAVG_100m_chanel_11,min_value_KRA_TMAX_100m_chanel_0,max_value_KRA_TMAX_100m_chanel_0,mean_value_KRA_TMAX_100m_chanel_0,min_value_KRA_TMAX_100m_chanel_1,max_value_KRA_TMAX_100m_chanel_1,mean_value_KRA_TMAX_100m_chanel_1,min_value_KRA_TMAX_100m_chanel_2,max_value_KRA_TMAX_100m_chanel_2,mean_value_KRA_TMAX_100m_chanel_2,min_value_KRA_TMAX_100m_chanel_3,max_value_KRA_TMAX_100m_chanel_3,mean_value_KRA_TMAX_100m_chanel_3,min_value_KRA_TMAX_100m_chanel_4,max_value_KRA_TMAX_100m_chanel_4,mean_value_KRA_TMAX_100m_chanel_4,min_value_KRA_TMAX_100m_chanel_5,max_value_KRA_TMAX_100m_chanel_5,mean_value_KRA_TMAX_100m_chanel_5,min_value_KRA_TMAX_100m_chanel_6,max_value_KRA_TMAX_100m_chanel_6,mean_value_KRA_TMAX_100m_chanel_6,min_value_KRA_TMAX_100m_chanel_7,max_value_KRA_TMAX_100m_chanel_7,mean_value_KRA_TMAX_100m_chanel_7,min_value_KRA_TMAX_100m_chanel_8,max_value_KRA_TMAX_100m_chanel_8,mean_value_KRA_TMAX_100m_chanel_8,min_value_KRA_TMAX_100m_chanel_9,max_value_KRA_TMAX_100m_chanel_9,mean_value_KRA_TMAX_100m_chanel_9,min_value_KRA_TMAX_100m_chanel_10,max_value_KRA_TMAX_100m_chanel_10,mean_value_KRA_TMAX_100m_chanel_10,min_value_KRA_TMAX_100m_chanel_11,max_value_KRA_TMAX_100m_chanel_11,mean_value_KRA_TMAX_100m_chanel_11,min_value_KRA_TMIN_100m_chanel_0,max_value_KRA_TMIN_100m_chanel_0,mean_value_KRA_TMIN_100m_chanel_0,min_value_KRA_TMIN_100m_chanel_1,max_value_KRA_TMIN_100m_chanel_1,mean_value_KRA_TMIN_100m_chanel_1,min_value_KRA_TMIN_100m_chanel_2,max_value_KRA_TMIN_100m_chanel_2,mean_value_KRA_TMIN_100m_chanel_2,min_value_KRA_TMIN_100m_chanel_3,max_value_KRA_TMIN_100m_chanel_3,mean_value_KRA_TMIN_100m_chanel_3,min_value_KRA_TMIN_100m_chanel_4,max_value_KRA_TMIN_100m_chanel_4,mean_value_KRA_TMIN_100m_chanel_4,min_value_KRA_TMIN_100m_chanel_5,max_value_KRA_TMIN_100m_chanel_5,mean_value_KRA_TMIN_100m_chanel_5,min_value_KRA_TMIN_100m_chanel_6,max_value_KRA_TMIN_100m_chanel_6,mean_value_KRA_TMIN_100m_chanel_6,min_value_KRA_TMIN_100m_chanel_7,max_value_KRA_TMIN_100m_chanel_7,mean_value_KRA_TMIN_100m_chanel_7,min_value_KRA_TMIN_100m_chanel_8,max_value_KRA_TMIN_100m_chanel_8,mean_value_KRA_TMIN_100m_chanel_8,min_value_KRA_TMIN_100m_chanel_9,max_value_KRA_TMIN_100m_chanel_9,mean_value_KRA_TMIN_100m_chanel_9,min_value_KRA_TMIN_100m_chanel_10,max_value_KRA_TMIN_100m_chanel_10,mean_value_KRA_TMIN_100m_chanel_10,min_value_KRA_TMIN_100m_chanel_11,max_value_KRA_TMIN_100m_chanel_11,mean_value_KRA_TMIN_100m_chanel_11,min_value_KRA_WATER_SEASONALYTY_100m,max_value_KRA_WATER_SEASONALYTY_100m,mean_value_KRA_WATER_SEASONALYTY_100m
64,43.0,43.0,43.0,37.0,37.0,37.0,33.0,33.0,33.0,35.0,35.0,35.0,45.0,45.0,45.0,54.0,54.0,54.0,55.0,55.0,55.0,45.0,46.0,45.16666793823242,43.0,43.0,43.0,31.0,31.0,31.0,44.0,44.0,44.0,58.0,58.0,58.0,-99999.0,-99999.0,-99999.0,16.0,18.0,16.83333396911621,0.0,0.0,0.0,64,12,0,0,0,0,0,0,0,0,0,133.0,133.0,133.0,-24.0,-24.0,-24.0,-20.0,-20.0,-20.0,21.0,21.0,21.0,103.0,103.0,103.0,161.0,161.0,161.0,209.0,209.0,209.0,234.0,234.0,234.0,229.0,229.0,229.0,174.0,174.0,174.0,106.0,106.0,106.0,37.0,37.0,37.0,0.0,0.0,0.0,2.0,2.0,2.0,56.0,56.0,56.0,100.0,100.0,100.0,143.0,144.0,143.25,203.0,203.0,203.0,248.0,248.0,248.0,276.0,276.0,276.0,272.0,272.0,272.0,217.0,218.0,217.4166717529297,146.0,146.0,146.0,63.0,63.0,63.0,23.0,23.0,23.0,-51.0,-51.0,-51.0,-52.0,-52.0,-52.0,-13.0,-13.0,-13.0,62.0,62.0,62.0,120.0,120.0,120.0,171.0,171.0,171.0,192.0,193.0,192.9166717529297,185.0,185.0,185.0,130.0,130.0,130.0,67.0,67.0,67.0,11.0,11.0,11.0,-23.0,-23.0,-23.0,0.0,0.0,0.0
65,50.0,50.0,50.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,38.0,48.0,48.0,48.0,57.0,57.0,57.0,53.0,53.0,53.0,49.0,50.0,49.42856979370117,46.0,46.0,46.0,41.0,41.0,41.0,51.0,51.0,51.0,62.0,62.0,62.0,360.0,360.0,360.0,1.0,2.0,1.2857142686843872,0.2864765226840973,0.5729386806488037,0.3273997008800506,65,7,0,0,0,0,0,0,0,0,0,131.0,131.0,131.0,-8.0,-8.0,-8.0,-3.0,-3.0,-3.0,40.0,40.0,40.0,116.0,116.0,116.0,166.0,166.0,166.0,208.0,208.0,208.0,233.0,233.0,233.0,223.0,223.0,223.0,174.0,174.0,174.0,113.0,113.0,113.0,50.0,50.0,50.0,12.0,12.0,12.0,23.0,23.0,23.0,80.0,80.0,80.0,120.0,121.0,120.57142639160156,160.0,161.0,160.57142639160156,211.0,212.0,211.42857360839844,252.0,253.0,252.42857360839844,278.0,278.0,278.0,271.0,271.0,271.0,222.0,223.0,222.5714263916016,159.0,159.0,159.0,86.0,86.0,86.0,43.0,43.0,43.0,-40.0,-40.0,-40.0,-38.0,-38.0,-38.0,0.0,0.0,0.0,72.0,72.0,72.0,120.0,120.0,120.0,163.0,163.0,163.0,188.0,188.0,188.0,175.0,175.0,175.0,125.0,125.0,125.0,67.0,67.0,67.0,14.0,14.0,14.0,-19.0,-19.0,-19.0,0.0,0.0,0.0
66,50.0,51.0,50.66666793823242,41.0,41.0,41.0,41.0,41.0,41.0,39.0,39.0,39.0,49.0,49.0,49.0,58.0,58.0,58.0,54.0,54.0,54.0,50.0,50.0,50.0,45.0,46.0,45.16666793823242,41.0,41.0,41.0,51.0,51.0,51.0,63.0,63.0,63.0,90.0,90.0,90.0,1.0,1.0,1.0,0.2864765226840973,0.2864765226840973,0.2864765226840973,66,6,0,0,0,0,0,0,0,0,0,130.0,130.0,130.0,-9.0,-9.0,-9.0,-3.0,-3.0,-3.0,40.0,40.0,40.0,117.0,117.0,117.0,166.0,166.0,166.0,208.0,208.0,208.0,234.0,234.0,234.0,224.0,224.0,224.0,174.0,174.0,174.0,113.0,113.0,113.0,50.0,50.0,50.0,11.0,11.0,11.0,22.0,22.0,22.0,81.0,81.0,81.0,122.0,122.0,122.0,163.0,163.0,163.0,214.0,214.0,214.0,254.0,254.0,254.0,279.0,279.0,279.0,272.0,273.0,272.5,223.0,224.0,223.1666717529297,159.0,159.0,159.0,85.0,85.0,85.0,42.0,42.0,42.0,-41.0,-41.0,-41.0,-39.0,-39.0,-39.0,-1.0,-1.0,-1.0,71.0,71.0,71.0,118.0,118.0,118.0,162.0,163.0,162.8333282470703,188.0,188.0,188.0,176.0,176.0,176.0,125.0,125.0,125.0,66.0,67.0,66.83333587646484,14.0,14.0,14.0,-20.0,-20.0,-20.0,0.0,0.0,0.0
67,51.0,51.0,51.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,51.0,51.0,51.0,59.0,59.0,59.0,55.0,55.0,55.0,49.0,49.0,49.0,44.0,45.0,44.875,42.0,42.0,42.0,52.0,52.0,52.0,63.0,63.0,63.0,-99999.0,-99999.0,-99999.0,1.0,2.0,1.125,0.0,0.0,0.0,67,8,0,0,0,0,0,0,0,0,0,126.0,126.0,126.0,-11.0,-11.0,-11.0,-6.0,-6.0,-6.0,39.0,39.0,39.0,116.0,116.0,116.0,165.0,165.0,165.0,207.0,207.0,207.0,233.0,233.0,233.0,224.0,224.0,224.0,173.0,173.0,173.0,111.0,111.0,111.0,48.0,48.0,48.0,9.0,9.0,9.0,22.0,22.0,22.0,82.0,83.0,82.625,124.0,125.0,124.625,165.0,166.0,165.625,215.0,216.0,215.125,255.0,255.0,255.0,282.0,282.0,282.0,275.0,276.0,275.875,224.0,225.0,224.875,159.0,160.0,159.75,84.0,85.0,84.875,41.0,42.0,41.75,-44.0,-44.0,-44.0,-42.0,-42.0,-42.0,-5.0,-4.0,-4.125,66.0,67.0,66.875,114.0,115.0,114.25,159.0,159.0,159.0,184.0,185.0,184.125,171.0,172.0,171.25,121.0,122.0,121.25,62.0,63.0,62.875,11.0,11.0,11.0,-25.0,-24.0,-24.125,0.0,0.0,0.0
68,51.0,51.0,51.0,41.0,41.0,41.0,43.0,44.0,43.5,42.0,43.0,42.125,53.0,53.0,53.0,62.0,62.0,62.0,54.0,55.0,54.625,48.0,48.0,48.0,41.0,42.0,41.625,40.0,41.0,40.625,52.0,52.0,52.0,63.0,63.0,63.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,68,8,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-14.0,-14.0,-14.0,-8.0,-8.0,-8.0,39.0,39.0,39.0,116.0,116.0,116.0,165.0,165.0,165.0,208.0,208.0,208.0,233.0,233.0,233.0,224.0,224.0,224.0,174.0,174.0,174.0,111.0,111.0,111.0,47.0,47.0,47.0,7.0,7.0,7.0,18.0,18.0,18.0,78.0,79.0,78.5,120.0,120.0,120.0,161.0,161.0,161.0,211.0,212.0,211.625,253.0,253.0,253.0,280.0,280.0,280.0,274.0,275.0,274.375,222.0,223.0,222.25,156.0,156.0,156.0,80.0,80.0,80.0,37.0,37.0,37.0,-47.0,-46.0,-46.75,-42.0,-42.0,-42.0,-1.0,-1.0,-1.0,71.0,72.0,71.5,119.0,119.0,119.0,162.0,163.0,162.125,187.0,187.0,187.0,175.0,175.0,175.0,125.0,125.0,125.0,66.0,66.0,66.0,13.0,13.0,13.0,-24.0,-23.0,-23.125,1.0,1.0,1.0
69,51.0,51.0,51.0,41.0,41.0,41.0,42.0,43.0,42.66666793823242,42.0,42.0,42.0,53.0,53.0,53.0,62.0,62.0,62.0,54.0,54.0,54.0,48.0,48.0,48.0,40.0,41.0,40.5,40.0,41.0,40.16666793823242,52.0,52.0,52.0,63.0,63.0,63.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,69,6,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-14.0,-14.0,-14.0,-8.0,-8.0,-8.0,38.0,38.0,38.0,116.0,116.0,116.0,165.0,165.0,165.0,207.0,208.0,207.1666717529297,233.0,233.0,233.0,225.0,225.0,225.0,174.0,174.0,174.0,111.0,111.0,111.0,46.0,46.0,46.0,6.0,7.0,6.833333492279053,18.0,18.0,18.0,78.0,79.0,78.66666412353516,120.0,121.0,120.66666412353516,161.0,162.0,161.6666717529297,212.0,212.0,212.0,253.0,254.0,253.1666717529297,280.0,280.0,280.0,275.0,276.0,275.1666564941406,223.0,223.0,223.0,156.0,156.0,156.0,80.0,80.0,80.0,37.0,37.0,37.0,-47.0,-47.0,-47.0,-42.0,-42.0,-42.0,-2.0,-1.0,-1.6666666269302368,70.0,71.0,70.66666412353516,118.0,118.0,118.0,162.0,162.0,162.0,186.0,187.0,186.3333282470703,174.0,174.0,174.0,124.0,125.0,124.33333587646484,65.0,66.0,65.33333587646484,12.0,13.0,12.333333015441896,-24.0,-24.0,-24.0,0.0,0.0,0.0
70,51.0,52.0,51.85714340209961,41.0,42.0,41.42856979370117,44.0,45.0,44.85714340209961,43.0,45.0,44.0,54.0,54.0,54.0,62.0,62.0,62.0,55.0,55.0,55.0,48.0,48.0,48.0,40.0,40.0,40.0,42.0,43.0,42.14285659790039,53.0,53.0,53.0,64.0,65.0,64.28571319580078,360.0,360.0,360.0,1.0,1.0,1.0,0.2864765226840973,0.5729386806488037,0.3273997008800506,70,7,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-15.0,-15.0,-15.0,-9.0,-9.0,-9.0,38.0,38.0,38.0,116.0,116.0,116.0,165.0,165.0,165.0,207.0,207.0,207.0,234.0,234.0,234.0,226.0,226.0,226.0,174.0,174.0,174.0,111.0,111.0,111.0,46.0,46.0,46.0,6.0,6.0,6.0,18.0,18.0,18.0,81.0,81.0,81.0,123.0,123.0,123.0,165.0,165.0,165.0,215.0,215.0,215.0,255.0,255.0,255.0,284.0,284.0,284.0,279.0,280.0,279.5714416503906,226.0,227.0,226.85714721679688,159.0,159.0,159.0,81.0,81.0,81.0,37.0,37.0,37.0,-49.0,-48.0,-48.85714340209961,-45.0,-45.0,-45.0,-5.0,-5.0,-5.0,66.0,67.0,66.42857360839844,114.0,114.0,114.0,159.0,159.0,159.0,183.0,184.0,183.42857360839844,172.0,172.0,172.0,121.0,122.0,121.42857360839844,63.0,63.0,63.0,10.0,10.0,10.0,-25.0,-25.0,-25.0,0.0,0.0,0.0
71,51.0,51.0,51.0,41.0,41.0,41.0,43.0,45.0,43.625,42.0,44.0,42.25,53.0,53.0,53.0,62.0,62.0,62.0,54.0,55.0,54.625,48.0,48.0,48.0,41.0,42.0,41.5,41.0,41.0,41.0,52.0,52.0,52.0,63.0,63.0,63.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,71,8,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-14.0,-14.0,-14.0,-8.0,-8.0,-8.0,39.0,39.0,39.0,116.0,116.0,116.0,165.0,165.0,165.0,208.0,208.0,208.0,233.0,233.0,233.0,224.0,224.0,224.0,174.0,174.0,174.0,111.0,111.0,111.0,47.0,47.0,47.0,7.0,7.0,7.0,18.0,18.0,18.0,78.0,78.0,78.0,120.0,120.0,120.0,161.0,161.0,161.0,211.0,211.0,211.0,252.0,253.0,252.875,279.0,279.0,279.0,274.0,274.0,274.0,222.0,222.0,222.0,155.0,155.0,155.0,80.0,80.0,80.0,37.0,37.0,37.0,-47.0,-46.0,-46.625,-42.0,-41.0,-41.75,-1.0,0.0,-0.875,71.0,72.0,71.875,119.0,119.0,119.0,162.0,163.0,162.125,187.0,187.0,187.0,175.0,175.0,175.0,125.0,126.0,125.125,66.0,67.0,66.125,13.0,13.0,13.0,-23.0,-23.0,-23.0,1.0,1.0,1.0
72,51.0,51.0,51.0,41.0,41.0,41.0,42.0,43.0,42.38461685180664,42.0,42.0,42.0,53.0,53.0,53.0,62.0,62.0,62.0,54.0,54.0,54.0,48.0,48.0,48.0,40.0,41.0,40.69230651855469,40.0,40.0,40.0,52.0,52.0,52.0,63.0,63.0,63.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,72,13,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-14.0,-14.0,-14.0,-8.0,-8.0,-8.0,38.0,38.0,38.0,116.0,116.0,116.0,165.0,165.0,165.0,207.0,208.0,207.6923065185547,233.0,233.0,233.0,224.0,225.0,224.84616088867188,174.0,174.0,174.0,111.0,111.0,111.0,46.0,47.0,46.46154022216797,7.0,7.0,7.0,18.0,18.0,18.0,78.0,79.0,78.30769348144531,120.0,121.0,120.15384674072266,161.0,162.0,161.15383911132812,212.0,212.0,212.0,253.0,253.0,253.0,280.0,280.0,280.0,275.0,275.0,275.0,223.0,223.0,223.0,156.0,156.0,156.0,80.0,80.0,80.0,37.0,37.0,37.0,-47.0,-47.0,-47.0,-42.0,-42.0,-42.0,-2.0,-1.0,-1.076923131942749,71.0,71.0,71.0,118.0,119.0,118.15384674072266,162.0,162.0,162.0,186.0,187.0,186.92308044433597,174.0,175.0,174.15383911132812,125.0,125.0,125.0,65.0,66.0,65.92308044433594,13.0,13.0,13.0,-24.0,-23.0,-23.846153259277344,0.0,0.0,0.0
73,51.0,52.0,51.07143020629883,41.0,41.0,41.0,43.0,44.0,43.42856979370117,42.0,43.0,42.07143020629883,53.0,53.0,53.0,62.0,62.0,62.0,54.0,55.0,54.21428680419922,48.0,48.0,48.0,40.0,40.0,40.0,40.0,41.0,40.07143020629883,52.0,52.0,52.0,63.0,64.0,63.21428680419922,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,73,14,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-15.0,-15.0,-15.0,-8.0,-8.0,-8.0,38.0,38.0,38.0,116.0,116.0,116.0,165.0,165.0,165.0,207.0,207.0,207.0,233.0,233.0,233.0,225.0,225.0,225.0,174.0,174.0,174.0,111.0,111.0,111.0,46.0,46.0,46.0,6.0,6.0,6.0,18.0,18.0,18.0,79.0,79.0,79.0,121.0,121.0,121.0,162.0,163.0,162.2857208251953,213.0,213.0,213.0,253.0,254.0,253.35714721679688,281.0,281.0,281.0,276.0,277.0,276.5714416503906,224.0,224.0,224.0,156.0,157.0,156.92857360839844,80.0,81.0,80.35713958740234,37.0,37.0,37.0,-47.0,-47.0,-47.0,-43.0,-43.0,-43.0,-3.0,-2.0,-2.142857074737549,69.0,70.0,69.85713958740234,117.0,117.0,117.0,161.0,161.0,161.0,186.0,186.0,186.0,174.0,174.0,174.0,124.0,124.0,124.0,65.0,65.0,65.0,12.0,12.0,12.0,-24.0,-24.0,-24.0,0.0,0.0,0.0
74,51.0,52.0,51.54545593261719,41.0,41.0,41.0,43.0,45.0,44.09090805053711,42.0,43.0,42.54545593261719,53.0,53.0,53.0,62.0,62.0,62.0,54.0,55.0,54.45454406738281,48.0,48.0,48.0,40.0,40.0,40.0,40.0,41.0,40.18181991577149,52.0,52.0,52.0,63.0,64.0,63.6363639831543,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,74,11,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-15.0,-15.0,-15.0,-8.0,-8.0,-8.0,38.0,38.0,38.0,116.0,116.0,116.0,165.0,165.0,165.0,207.0,207.0,207.0,233.0,233.0,233.0,225.0,225.0,225.0,174.0,174.0,174.0,111.0,111.0,111.0,46.0,46.0,46.0,6.0,6.0,6.0,18.0,18.0,18.0,80.0,80.0,80.0,122.0,122.0,122.0,163.0,163.0,163.0,213.0,213.0,213.0,254.0,254.0,254.0,282.0,282.0,282.0,277.0,277.0,277.0,224.0,225.0,224.4545440673828,157.0,157.0,157.0,81.0,81.0,81.0,37.0,37.0,37.0,-48.0,-47.0,-47.54545593261719,-43.0,-43.0,-43.0,-3.0,-3.0,-3.0,69.0,69.0,69.0,116.0,117.0,116.5454559326172,160.0,161.0,160.90908813476562,185.0,185.0,185.0,173.0,174.0,173.63636779785156,123.0,124.0,123.5454559326172,64.0,64.0,64.0,12.0,12.0,12.0,-24.0,-24.0,-24.0,0.0,0.0,0.0
75,52.0,52.0,52.0,42.0,42.0,42.0,47.0,47.0,47.0,46.0,47.0,46.33333206176758,53.0,53.0,53.0,63.0,63.0,63.0,55.0,55.0,55.0,48.0,48.0,48.0,41.0,41.0,41.0,41.0,42.0,41.16666793823242,53.0,53.0,53.0,65.0,65.0,65.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,75,6,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-15.0,-15.0,-15.0,-9.0,-9.0,-9.0,38.0,38.0,38.0,116.0,116.0,116.0,165.0,165.0,165.0,207.0,207.0,207.0,234.0,234.0,234.0,225.0,225.0,225.0,174.0,174.0,174.0,111.0,111.0,111.0,46.0,46.0,46.0,6.0,6.0,6.0,18.0,18.0,18.0,80.0,80.0,80.0,122.0,122.0,122.0,164.0,164.0,164.0,214.0,214.0,214.0,254.0,254.0,254.0,283.0,283.0,283.0,278.0,278.0,278.0,225.0,226.0,225.5,158.0,158.0,158.0,81.0,81.0,81.0,37.0,37.0,37.0,-48.0,-48.0,-48.0,-44.0,-44.0,-44.0,-4.0,-4.0,-4.0,68.0,68.0,68.0,115.0,116.0,115.5,160.0,160.0,160.0,185.0,185.0,185.0,173.0,173.0,173.0,123.0,123.0,123.0,64.0,64.0,64.0,11.0,11.0,11.0,-24.0,-24.0,-24.0,0.0,0.0,0.0
76,52.0,52.0,52.0,42.0,42.0,42.0,46.0,47.0,46.66666793823242,45.0,46.0,45.83333206176758,54.0,54.0,54.0,62.0,63.0,62.16666793823242,55.0,55.0,55.0,48.0,48.0,48.0,40.0,41.0,40.66666793823242,42.0,42.0,42.0,53.0,53.0,53.0,65.0,65.0,65.0,-99999.0,-99999.0,-99999.0,1.0,2.0,1.1666666269302368,0.0,0.0,0.0,76,6,0,0,0,0,0,0,0,0,0,122.0,122.0,122.0,-15.0,-15.0,-15.0,-9.0,-9.0,-9.0,38.0,38.0,38.0,116.0,116.0,116.0,165.0,165.0,165.0,207.0,207.0,207.0,234.0,234.0,234.0,226.0,226.0,226.0,174.0,174.0,174.0,111.0,111.0,111.0,46.0,46.0,46.0,6.0,6.0,6.0,18.0,18.0,18.0,81.0,81.0,81.0,123.0,123.0,123.0,164.0,164.0,164.0,214.0,215.0,214.8333282470703,254.0,254.0,254.0,283.0,283.0,283.0,278.0,279.0,278.8333435058594,226.0,226.0,226.0,158.0,158.0,158.0,81.0,81.0,81.0,37.0,37.0,37.0,-48.0,-48.0,-48.0,-45.0,-44.0,-44.66666793823242,-5.0,-4.0,-4.833333492279053,67.0,68.0,67.16666412353516,115.0,115.0,115.0,159.0,160.0,159.1666717529297,184.0,184.0,184.0,172.0,173.0,172.1666717529297,122.0,122.0,122.0,63.0,63.0,63.0,11.0,11.0,11.0,-25.0,-24.0,-24.83333396911621,0.0,0.0,0.0
77,50.0,51.0,50.28571319580078,40.0,41.0,40.57143020629883,40.0,41.0,40.57143020629883,39.0,39.0,39.0,49.0,49.0,49.0,58.0,59.0,58.57143020629883,54.0,54.0,54.0,49.0,50.0,49.42856979370117,45.0,45.0,45.0,41.0,41.0,41.0,51.0,51.0,51.0,63.0,63.0,63.0,-99999.0,-99999.0,-99999.0,1.0,1.0,1.0,0.0,0.0,0.0,77,7,0,0,0,0,0,0,0,0,0,129.0,129.0,129.0,-10.0,-10.0,-10.0,-4.0,-4.0,-4.0,39.0,39.0,39.0,116.0,117.0,116.28571319580078,166.0,166.0,166.0,207.0,208.0,207.7142791748047,233.0,233.0,233.0,223.0,223.0,223.0,173.0,173.0,173.0,112.0,112.0,112.0,49.0,49.0,49.0,10.0,10.0,10.0,22.0,22.0,22.0,79.0,80.0,79.28571319580078,121.0,121.0,121.0,162.0,162.0,162.0,212.0,213.0,212.2857208251953,252.0,252.0,252.0,277.0,277.0,277.0,270.0,270.0,270.0,221.0,222.0,221.2857208251953,157.0,158.0,157.57142639160156,83.0,84.0,83.71428680419922,41.0,41.0,41.0,-41.0,-41.0,-41.0,-39.0,-39.0,-39.0,-1.0,-1.0,-1.0,71.0,71.0,71.0,119.0,119.0,119.0,163.0,164.0,163.42857360839844,188.0,189.0,188.42857360839844,175.0,176.0,175.42857360839844,125.0,126.0,125.42857360839844,66.0,67.0,66.42857360839844,14.0,15.0,14.428571701049805,-21.0,-20.0,-20.571428298950195,0.0,0.0,0.0
